prompt,classes,answer_index
"The question requires reasoning about negation.
The second thing I learned is not the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Question: Everyone who works in law must work together. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
The second thing I learned is the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Question: Everyone who works in law must not work together. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
The second thing I learned is not the importance of collaboration among judges, bar associations, private attorneys and civil legal service providers.
Question: Everyone who works in law must not work together. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
The United States does not fall somewhere between these extremes.
Question: The United States conforms to only one of these extremes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
The United States falls somewhere between these extremes.
Question: The United States does not conform to only one of these extremes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
The United States does not fall somewhere between these extremes.
Question: The United States does not conform to only one of these extremes. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
Subia was not nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Question: Subia was Bush's first nominee to the Board of Directors. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
Subia was nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Question: Subia was not Bush's first nominee to the Board of Directors. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
Subia was not nominated by President Bush to the board of directors of the Legal Services Corp. -- a nonprofit organization dedicated to providing legal services to low-income people.
Question: Subia was not Bush's first nominee to the Board of Directors. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
His knees were not bent.
Question: He bent his legs. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
His knees were bent.
Question: He did not bend his legs. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
His knees were not bent.
Question: He did not bend his legs. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may not be substantial.
Question: Their cumulative and long term effects are predictable and likely insubstantial. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may be substantial.
Question: Their cumulative and long term effects are not predictable and likely insubstantial. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
Their cumulative and longer term effects, however, some of which may be largely unknown at this time, may not be substantial.
Question: Their cumulative and long term effects are not predictable and likely insubstantial. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
And if things go well, you were not behind the commander in chief all the way.
Question: If things go well, you support the President. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
And if things go well, you were behind the commander in chief all the way.
Question: If things go well, you do not support the President. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
And if things go well, you were not behind the commander in chief all the way.
Question: If things go well, you do not support the President. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
Vrenna did not continue her dance, kicking one man in the chest and cleaving into the flank of another.
Question: Vrenna kicked a small child in the chest as she danced. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
Vrenna continued her dance, kicking one man in the chest and cleaving into the flank of another.
Question: Vrenna did not kick a small child in the chest as she danced. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
Vrenna did not continue her dance, kicking one man in the chest and cleaving into the flank of another.
Question: Vrenna did not kick a small child in the chest as she danced. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
T. Temple Tuttle, an ethnomusicologist at Cleveland State University, does not feel the holes conform to a number of scales, including the South Indian system.
Question: In the South Indian system, holes are unrelated to scales. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
T. Temple Tuttle, an ethnomusicologist at Cleveland State University, feels the holes conform to a number of scales, including the South Indian system.
Question: In the South Indian system, holes are not unrelated to scales. True, False, or Neither?
Answer:","[' True',' False',' Neither']",0
"The question requires reasoning about negation.
T. Temple Tuttle, an ethnomusicologist at Cleveland State University, does not feel the holes conform to a number of scales, including the South Indian system.
Question: In the South Indian system, holes are not unrelated to scales. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
This growing number of titles does not leave publishing houses with less time and attention to edit and market books.
Question: Publishing houses can give less attention to editing books. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
"The question requires reasoning about negation.
This growing number of titles leaves publishing houses with less time and attention to edit and market books.
Question: Publishing houses cannot give less attention to editing books. True, False, or Neither?
Answer:","[' True',' False',' Neither']",1
"The question requires reasoning about negation.
This growing number of titles does not leave publishing houses with less time and attention to edit and market books.
Question: Publishing houses cannot give less attention to editing books. True, False, or Neither?
Answer:","[' True',' False',' Neither']",2
